codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida,
21185501,103,2016-08-22T04:50:00.000,0.9,ROVIRA  - AUT,TOLIMA,ROVIRA,ALTO MAGDALENA,4.266.666.667,-7.528.305.556,Velocidad Viento (10 min),m/s,
21115010,103,2009-02-17T00:20:00.000,0.5,DESIERTO TATACOA,HUILA,VILLAVIEJA,ALTO MAGDALENA,3.234,-75.168,Velocidad Viento (10 min),m/s,
21205515,103,2019-01-06T22:00:00.000,0.615,MERENGO  - AUT,CUNDINAMARCA,SOACHA,ALTO MAGDALENA,4.7,-74.174,Velocidad Viento (10 min),m/s,
21185090,103,2019-07-02T23:40:00.000,0.2,NATAIMA - AUT,TOLIMA,ESPINAL,ALTO MAGDALENA,4.188.138.889,-7.496.047.222,Velocidad Viento (10 min),m/s,
21195170,103,2013-02-11T12:50:00.000,1.9,PAQUILO - AUT,CUNDINAMARCA,CABRERA,ALTO MAGDALENA,3.993.611.111,-7.439.805.556,Velocidad Viento (10 min),m/s,
21065501,103,2019-03-01T07:35:00.000,0.7355559,JORGE VILLAMIL  - AUT,HUILA,GIGANTE,ALTO MAGDALENA,2.325.552.778,-7.550.972.222,Velocidad Viento (10 min),m/s,
21205517,103,2019-08-10T04:20:00.000,0.513,PARQUE SOPO  - AUT,CUNDINAMARCA,SOPA,ALTO MAGDALENA,4.788,-74.05,Velocidad Viento (10 min),m/s,
21185090,103,2007-04-22T19:20:00.000,0.6,NATAIMA - AUT,TOLIMA,ESPINAL,ALTO MAGDALENA,4.188.138.889,-7.496.047.222,Velocidad Viento (10 min),m/s,
21206940,103,2011-03-03T13:20:00.000,3.9,CIUDAD BOLIVAR,BOGOTA D.C.,BOGOTA, D.C,ALTO MAGDALENA,4.577,-74.177,Velocidad Viento (10 min),m/s
21206790,103,2012-07-07T22:20:00.000,0.4,HACIENDA SANTA ANA - AUT,CUNDINAMARCA,NEMOCON,ALTO MAGDALENA,50.905,-7.388.125,Velocidad Viento (10 min),m/s,
21195501,103,2018-01-01T13:40:00.000,2.672.907,GRANJA TIBACUY  - AUT,CUNDINAMARCA,TIBACUY,ALTO MAGDALENA,4.363.052.778,-7.443.527.778,Velocidad Viento (10 min),m/s,
21015050,103,2018-09-23T10:20:00.000,1.1,PURACE  - AUT,HUILA,SAN AGUSTIN,ALTO MAGDALENA,1.925.916.667,-7.642.755.556,Velocidad Viento (10 min),m/s,
21215150,103,2007-05-19T17:50:00.000,6.3,NEVADO DEL TOLIMA  - AUT,TOLIMA,ANZOATEGUI,ALTO MAGDALENA,4.670.777.778,-7.532.777.778,Velocidad Viento (10 min),m/s,
21035501,103,2017-10-09T23:55:00.000,1.766.021,ACEVEDO  - AUT,HUILA,ACEVEDO,ALTO MAGDALENA,1.763.191.667,-7.593.224.722,Velocidad Viento (10 min),m/s,
21195160,103,2011-04-27T04:50:00.000,1.1,SUBIA,CUNDINAMARCA,SILVANIA,ALTO MAGDALENA,4.477,-74.384,Velocidad Viento (10 min),m/s,
21015060,103,2017-12-04T19:50:00.000,1.2,MARENGO  - AUT,HUILA,PITALITO,ALTO MAGDALENA,2.221.111.111,-7.611.888.889,Velocidad Viento (10 min),m/s,
21115170,103,2010-06-04T14:50:00.000,1.9,LA PLATA - AUT,HUILA,NEIVA,ALTO MAGDALENA,2.759.138.889,-7.507.455.556,Velocidad Viento (10 min),m/s,
21206920,103,2007-11-15T04:10:00.000,5.7,VILLA TERESA - AUT,BOGOTA,BOGOTA, D.C,ALTO MAGDALENA,4.35,-74.15,Velocidad Viento (10 min),m/s
21255160,103,2012-06-02T15:30:00.000,2.2,HACIENDA PAJONALES,TOLIMA,AMBALEMA,ALTO MAGDALENA,4.760.722.222,-7.483.425,Velocidad Viento (10 min),m/s,
21206790,103,2017-07-10T04:30:00.000,0.2,HACIENDA SANTA ANA - AUT,CUNDINAMARCA,NEMOCON,ALTO MAGDALENA,50.905,-7.388.125,Velocidad Viento (10 min),m/s,
21195190,103,2014-12-31T16:50:00.000,2.4,PASCA - AUT,CUNDINAMARCA,PASCA,ALTO MAGDALENA,4.310.111.111,-7.431.175,Velocidad Viento (10 min),m/s,
21205502,103,2017-06-29T10:30:00.000,1.598.311,MISIONES  - AUT,CUNDINAMARCA,EL COLEGIO,ALTO MAGDALENA,4.544.997.222,-7.444.055.556,Velocidad Viento (10 min),m/s,
21215190,103,2008-10-25T20:20:00.000,1.2,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,ALTO MAGDALENA,4.435.666.667,-7.550.036.111,Velocidad Viento (10 min),m/s,
21205012,103,2014-06-22T12:50:00.000,2.2,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,BOGOTA, D.C,ALTO MAGDALENA,4.638.083.333,-7.408.908.333,Velocidad Viento (10 min),m/s
21215501,103,2018-10-05T01:05:00.000,0.09011231,ESPERANZA LA  - AUT,TOLIMA,IBAGUE,ALTO MAGDALENA,4.45,-75.25,Velocidad Viento (10 min),m/s,
21215180,103,2013-12-22T16:30:00.000,0.3,BATALLON ROOKE  - AUT,TOLIMA,IBAGUE,ALTO MAGDALENA,4.418.388.889,-7.524.866.667,Velocidad Viento (10 min),m/s,
21206990,103,2016-11-14T05:10:00.000,0.8,TIBAITATA - AUT,CUNDINAMARCA,MOSQUERA,ALTO MAGDALENA,4.691.416.667,-74.209,Velocidad Viento (10 min),m/s,
21185501,103,2018-10-12T21:35:00.000,0.008477448,ROVIRA  - AUT,TOLIMA,ROVIRA,ALTO MAGDALENA,4.266.666.667,-7.528.305.556,Velocidad Viento (10 min),m/s,
21255160,103,2008-08-22T23:00:00.000,0.7,HACIENDA PAJONALES,TOLIMA,AMBALEMA,ALTO MAGDALENA,4.760.722.222,-7.483.425,Velocidad Viento (10 min),m/s,
21015050,103,2008-11-25T02:20:00.000,1.4,PURACE  - AUT,HUILA,SAN AGUSTIN,ALTO MAGDALENA,1.925.916.667,-7.642.755.556,Velocidad Viento (10 min),m/s,
21215150,103,2017-05-16T18:20:00.000,6,NEVADO DEL TOLIMA  - AUT,TOLIMA,ANZOATEGUI,ALTO MAGDALENA,4.670.777.778,-7.532.777.778,Velocidad Viento (10 min),m/s,
21215180,103,2018-02-03T23:40:00.000,1.2,BATALLON ROOKE  - AUT,TOLIMA,IBAGUE,ALTO MAGDALENA,4.418.388.889,-7.524.866.667,Velocidad Viento (10 min),m/s,
21215501,103,2017-10-04T08:15:00.000,0.1171412,ESPERANZA LA  - AUT,TOLIMA,IBAGUE,ALTO MAGDALENA,4.45,-75.25,Velocidad Viento (10 min),m/s,
21206790,103,2015-01-11T03:30:00.000,0.8,HACIENDA SANTA ANA - AUT,CUNDINAMARCA,NEMOCON,ALTO MAGDALENA,50.905,-7.388.125,Velocidad Viento (10 min),m/s,
21215190,103,2018-05-25T14:40:00.000,2.2,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,ALTO MAGDALENA,4.435.666.667,-7.550.036.111,Velocidad Viento (10 min),m/s,
21015030,103,2019-04-27T05:50:00.000,0.9,PARQUE ARQUEOLOGICO - AUT,HUILA,SAN AGUSTIN,ALTO MAGDALENA,1.888.472.222,-7.629.497.222,Velocidad Viento (10 min),m/s,
21255170,103,2012-01-28T03:20:00.000,1.4,MURILLO - AUT,TOLIMA,MURILLO,ALTO MAGDALENA,4.870.555.556,-7.517.327.778,Velocidad Viento (10 min),m/s,
21085501,103,2019-03-01T11:10:00.000,1.933.577,TERUEL  - AUT,HUILA,TERUEL,ALTO MAGDALENA,2.762.997.222,-7.561.144.167,Velocidad Viento (10 min),m/s,
21195170,103,2013-10-01T06:50:00.000,2.9,PAQUILO - AUT,CUNDINAMARCA,CABRERA,ALTO MAGDALENA,3.993.611.111,-7.439.805.556,Velocidad Viento (10 min),m/s,
21206990,103,2015-05-23T03:30:00.000,1.2,TIBAITATA - AUT,CUNDINAMARCA,MOSQUERA,ALTO MAGDALENA,4.691.416.667,-74.209,Velocidad Viento (10 min),m/s,
21206280,103,2019-04-21T21:00:00.000,1.2,ACAPULCO,CUNDINAMARCA,BOJACA,ALTO MAGDALENA,4.653.833.333,-7.433.305.556,Velocidad Viento (10 min),m/s,
21215180,103,2010-05-10T11:30:00.000,2.8,BATALLON ROOKE  - AUT,TOLIMA,IBAGUE,ALTO MAGDALENA,4.418.388.889,-7.524.866.667,Velocidad Viento (10 min),m/s,
21255170,103,2016-10-02T01:10:00.000,0.3,MURILLO - AUT,TOLIMA,MURILLO,ALTO MAGDALENA,4.870.555.556,-7.517.327.778,Velocidad Viento (10 min),m/s,
21035501,103,2019-01-17T22:15:00.000,203.401,ACEVEDO  - AUT,HUILA,ACEVEDO,ALTO MAGDALENA,1.763.191.667,-7.593.224.722,Velocidad Viento (10 min),m/s,
21197430,103,2013-07-21T11:30:00.000,7.29,PROVIDENCIA - PROVIDENCIA,CUNDINAMARCA,FUSAGASUGA,ALTO MAGDALENA,4.367,-74.3,Velocidad Viento (10 min),m/s,
21205502,103,2018-06-02T21:05:00.000,1.354.675,MISIONES  - AUT,CUNDINAMARCA,EL COLEGIO,ALTO MAGDALENA,4.544.997.222,-7.444.055.556,Velocidad Viento (10 min),m/s,
21115170,103,2010-08-14T13:00:00.000,2,LA PLATA - AUT,HUILA,NEIVA,ALTO MAGDALENA,2.759.138.889,-7.507.455.556,Velocidad Viento (10 min),m/s,
21255170,103,2013-01-20T10:10:00.000,2.6,MURILLO - AUT,TOLIMA,MURILLO,ALTO MAGDALENA,4.870.555.556,-7.517.327.778,Velocidad Viento (10 min),m/s,
21195170,103,2009-01-25T19:50:00.000,2.2,PAQUILO - AUT,CUNDINAMARCA,CABRERA,ALTO MAGDALENA,3.993.611.111,-7.439.805.556,Velocidad Viento (10 min),m/s,
21206990,103,2005-06-04T19:50:00.000,2.3,TIBAITATA - AUT,CUNDINAMARCA,MOSQUERA,ALTO MAGDALENA,4.691.416.667,-74.209,Velocidad Viento (10 min),m/s,
21185090,103,2012-06-27T19:20:00.000,1.7,NATAIMA - AUT,TOLIMA,ESPINAL,ALTO MAGDALENA,4.188.138.889,-7.496.047.222,Velocidad Viento (10 min),m/s,
21205660,103,2019-07-30T00:10:00.000,2.5,MERCEDES - AUT,CUNDINAMARCA,ANAPOIMA,ALTO MAGDALENA,4.581.888.889,-7.452.661.111,Velocidad Viento (10 min),m/s,
21015050,103,2009-04-25T20:20:00.000,0.8,PURACE  - AUT,HUILA,SAN AGUSTIN,ALTO MAGDALENA,1.925.916.667,-7.642.755.556,Velocidad Viento (10 min),m/s,
21015030,103,2019-07-27T15:30:00.000,1.5,PARQUE ARQUEOLOGICO - AUT,HUILA,SAN AGUSTIN,ALTO MAGDALENA,1.888.472.222,-7.629.497.222,Velocidad Viento (10 min),m/s,
21015040,103,2019-07-30T20:40:00.000,1,LA PRIMAVERA - AUT,HUILA,SALADOBLANCO,ALTO MAGDALENA,2.021.583.333,-7.611.433.333,Velocidad Viento (10 min),m/s,
21015502,103,2016-09-29T20:40:00.000,2.6,SAN AGUSTIN  - AUT,HUILA,SAN AGUSTIN,ALTO MAGDALENA,1.851.416.667,-7.630.433.056,Velocidad Viento (10 min),m/s,
21195190,103,2014-04-21T21:30:00.000,1.2,PASCA - AUT,CUNDINAMARCA,PASCA,ALTO MAGDALENA,4.310.111.111,-7.431.175,Velocidad Viento (10 min),m/s,
21055501,103,2017-12-05T18:35:00.000,229.871,SIMON CAMPOS  - AUT,HUILA,LA PLATA,ALTO MAGDALENA,2.345.830.556,-7.587.805.556,Velocidad Viento (10 min),m/s,
21015060,103,2009-06-26T17:30:00.000,2,MARENGO  - AUT,HUILA,PITALITO,ALTO MAGDALENA,2.221.111.111,-7.611.888.889,Velocidad Viento (10 min),m/s,
21035501,103,2018-07-01T09:30:00.000,1.004.884,ACEVEDO  - AUT,HUILA,ACEVEDO,ALTO MAGDALENA,1.763.191.667,-7.593.224.722,Velocidad Viento (10 min),m/s,
21015501,103,2018-11-27T09:40:00.000,1.722.339,PITALITO  - AUT,HUILA,PITALITO,ALTO MAGDALENA,1.777.527.778,-7.619.163.889,Velocidad Viento (10 min),m/s,
21195501,103,2017-10-22T18:30:00.000,1.548.602,GRANJA TIBACUY  - AUT,CUNDINAMARCA,TIBACUY,ALTO MAGDALENA,4.363.052.778,-7.443.527.778,Velocidad Viento (10 min),m/s,
21205525,103,2019-04-24T21:20:00.000,2.189,VILLA PINZON  - AUT,CUNDINAMARCA,VILLAPINZON,ALTO MAGDALENA,5.229,-73.585,Velocidad Viento (10 min),m/s,
21115180,103,2014-06-24T18:10:00.000,3.2,HACIENDA MANILA - AUT,HUILA,BARAYA,ALTO MAGDALENA,3.133.055.556,-7.508.152.778,Velocidad Viento (10 min),m/s,
21206930,103,2012-07-10T21:40:00.000,2.8,PARAMO GUERRERO  - AUT,CUNDINAMARCA,ZIPAQUIRA,ALTO MAGDALENA,5.086.444.444,-7.402.216.667,Velocidad Viento (10 min),m/s,
21115170,103,2019-03-20T11:10:00.000,1.7,LA PLATA - AUT,HUILA,NEIVA,ALTO MAGDALENA,2.759.138.889,-7.507.455.556,Velocidad Viento (10 min),m/s,
21235030,103,2013-03-27T06:20:00.000,1.4,UNIVERSIDAD DE CUNDINAMARCA - AUT,CUNDINAMARCA,GIRARDOT,ALTO MAGDALENA,4.305.333.333,-7.480.811.111,Velocidad Viento (10 min),m/s,
21205502,103,2016-07-10T02:00:00.000,0.7,MISIONES  - AUT,CUNDINAMARCA,EL COLEGIO,ALTO MAGDALENA,4.544.997.222,-7.444.055.556,Velocidad Viento (10 min),m/s,
21195160,103,2010-10-07T01:50:00.000,0.9,SUBIA,CUNDINAMARCA,SILVANIA,ALTO MAGDALENA,4.477,-74.384,Velocidad Viento (10 min),m/s,
21185090,103,2017-03-23T12:20:00.000,0.7,NATAIMA - AUT,TOLIMA,ESPINAL,ALTO MAGDALENA,4.188.138.889,-7.496.047.222,Velocidad Viento (10 min),m/s,
21045501,103,2017-06-24T07:10:00.000,3.035.275,OPORAPA  - AUT,HUILA,OPORAPA,ALTO MAGDALENA,2.041.941.667,-7.601.191.667,Velocidad Viento (10 min),m/s,
21015030,103,2019-07-16T05:40:00.000,1,PARQUE ARQUEOLOGICO - AUT,HUILA,SAN AGUSTIN,ALTO MAGDALENA,1.888.472.222,-7.629.497.222,Velocidad Viento (10 min),m/s,
21205526,103,2019-04-22T17:40:00.000,0.276,PEDRO PALO  - AUT,CUNDINAMARCA,TENA,ALTO MAGDALENA,4.691,-74.389,Velocidad Viento (10 min),m/s,
21195170,103,2008-11-23T03:40:00.000,1.7,PAQUILO - AUT,CUNDINAMARCA,CABRERA,ALTO MAGDALENA,3.993.611.111,-7.439.805.556,Velocidad Viento (10 min),m/s,
21197430,103,2006-08-24T00:40:00.000,1.78,PROVIDENCIA - PROVIDENCIA,CUNDINAMARCA,FUSAGASUGA,ALTO MAGDALENA,4.367,-74.3,Velocidad Viento (10 min),m/s,
21215180,103,2007-12-06T18:30:00.000,1.9,BATALLON ROOKE  - AUT,TOLIMA,IBAGUE,ALTO MAGDALENA,4.418.388.889,-7.524.866.667,Velocidad Viento (10 min),m/s,
21015070,103,2008-02-11T14:40:00.000,2.9,LOS GUACHAROS  - AUT,HUILA,PALESTINA,ALTO MAGDALENA,1.675.833,-76.106.841,Velocidad Viento (10 min),m/s,
21206920,103,2009-07-12T14:00:00.000,5.3,VILLA TERESA - AUT,BOGOTA,BOGOTA, D.C,ALTO MAGDALENA,4.35,-74.15,Velocidad Viento (10 min),m/s
21185090,103,2007-05-10T01:20:00.000,1.3,NATAIMA - AUT,TOLIMA,ESPINAL,ALTO MAGDALENA,4.188.138.889,-7.496.047.222,Velocidad Viento (10 min),m/s,
21197430,103,2007-09-17T22:10:00.000,1.11,PROVIDENCIA - PROVIDENCIA,CUNDINAMARCA,FUSAGASUGA,ALTO MAGDALENA,4.367,-74.3,Velocidad Viento (10 min),m/s,
21015502,103,2018-03-14T08:30:00.000,0.9922836,SAN AGUSTIN  - AUT,HUILA,SAN AGUSTIN,ALTO MAGDALENA,1.851.416.667,-7.630.433.056,Velocidad Viento (10 min),m/s,
21205791,103,2017-05-26T16:20:00.000,1.7,APTO EL DORADO - TX GPRS,BOGOTA D.C.,BOGOTA, D.C,ALTO MAGDALENA,4.706,-74.151,Velocidad Viento (10 min),m/s
21206980,103,2012-09-01T23:10:00.000,0.7,SANTA CRUZ DE SIECHA  - AUT,CUNDINAMARCA,GUASCA,ALTO MAGDALENA,4.784.277.778,-7.387.080.556,Velocidad Viento (10 min),m/s,
21205527,103,2018-12-02T00:00:00.000,3.107,ALTO DEL AIRE  - AUT,CUNDINAMARCA,CUCUNUBÁ,ALTO MAGDALENA,5.198,-73.805,Velocidad Viento (10 min),m/s,
21206980,103,2014-11-14T08:40:00.000,2,SANTA CRUZ DE SIECHA  - AUT,CUNDINAMARCA,GUASCA,ALTO MAGDALENA,4.784.277.778,-7.387.080.556,Velocidad Viento (10 min),m/s,
21206980,103,2013-02-08T20:00:00.000,2.8,SANTA CRUZ DE SIECHA  - AUT,CUNDINAMARCA,GUASCA,ALTO MAGDALENA,4.784.277.778,-7.387.080.556,Velocidad Viento (10 min),m/s,
21195160,103,2011-12-03T14:50:00.000,2.2,SUBIA,CUNDINAMARCA,SILVANIA,ALTO MAGDALENA,4.477,-74.384,Velocidad Viento (10 min),m/s,
21206990,103,2019-01-11T09:40:00.000,3.3,TIBAITATA - AUT,CUNDINAMARCA,MOSQUERA,ALTO MAGDALENA,4.691.416.667,-74.209,Velocidad Viento (10 min),m/s,
21206950,103,2011-11-02T13:40:00.000,2.7,PARAMO GUACHENEQUE  - AUT,CUNDINAMARCA,VILLAPINZON,ALTO MAGDALENA,5.236.055.556,-7.352.508.333,Velocidad Viento (10 min),m/s,
21235030,103,2012-07-09T03:00:00.000,1,UNIVERSIDAD DE CUNDINAMARCA - AUT,CUNDINAMARCA,GIRARDOT,ALTO MAGDALENA,4.305.333.333,-7.480.811.111,Velocidad Viento (10 min),m/s,
21115501,103,2018-08-11T08:30:00.000,0.03108497,TELLO  - AUT,HUILA,TELLO,ALTO MAGDALENA,2.960.666.667,-7.502.849.722,Velocidad Viento (10 min),m/s,
21215190,103,2018-11-28T19:20:00.000,1.5,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,ALTO MAGDALENA,4.435.666.667,-7.550.036.111,Velocidad Viento (10 min),m/s,
21185090,103,2018-06-28T06:40:00.000,0.7,NATAIMA - AUT,TOLIMA,ESPINAL,ALTO MAGDALENA,4.188.138.889,-7.496.047.222,Velocidad Viento (10 min),m/s,
21206990,103,2016-11-10T19:00:00.000,1.9,TIBAITATA - AUT,CUNDINAMARCA,MOSQUERA,ALTO MAGDALENA,4.691.416.667,-74.209,Velocidad Viento (10 min),m/s,
21197430,103,2008-12-21T00:30:00.000,1.12,PROVIDENCIA - PROVIDENCIA,CUNDINAMARCA,FUSAGASUGA,ALTO MAGDALENA,4.367,-74.3,Velocidad Viento (10 min),m/s,
21015060,103,2014-12-15T23:10:00.000,0.3,MARENGO  - AUT,HUILA,PITALITO,ALTO MAGDALENA,2.221.111.111,-7.611.888.889,Velocidad Viento (10 min),m/s,
21015070,103,2008-08-22T20:30:00.000,0.8,LOS GUACHAROS  - AUT,HUILA,PALESTINA,ALTO MAGDALENA,1.675.833,-76.106.841,Velocidad Viento (10 min),m/s,
21055070,103,2018-06-05T12:00:00.000,1.1,INZA - AUT,CAUCA,INZA,ALTO MAGDALENA,2.548.194.444,-7.606.394.444,Velocidad Viento (10 min),m/s,
21206980,103,2018-01-01T02:40:00.000,0.7,SANTA CRUZ DE SIECHA  - AUT,CUNDINAMARCA,GUASCA,ALTO MAGDALENA,4.784.277.778,-7.387.080.556,Velocidad Viento (10 min),m/s,
21255170,103,2018-12-18T06:10:00.000,1.3,MURILLO - AUT,TOLIMA,MURILLO,ALTO MAGDALENA,4.870.555.556,-7.517.327.778,Velocidad Viento (10 min),m/s,
21015502,103,2017-09-23T05:50:00.000,0.01682627,SAN AGUSTIN  - AUT,HUILA,SAN AGUSTIN,ALTO MAGDALENA,1.851.416.667,-7.630.433.056,Velocidad Viento (10 min),m/s,
21055501,103,2019-01-11T02:35:00.000,0.1508002,SIMON CAMPOS  - AUT,HUILA,LA PLATA,ALTO MAGDALENA,2.345.830.556,-7.587.805.556,Velocidad Viento (10 min),m/s,
21115010,103,2006-06-05T12:50:00.000,3.1,DESIERTO TATACOA,HUILA,VILLAVIEJA,ALTO MAGDALENA,3.234,-75.168,Velocidad Viento (10 min),m/s,
21115170,103,2015-06-11T12:00:00.000,3.2,LA PLATA - AUT,HUILA,NEIVA,ALTO MAGDALENA,2.759.138.889,-7.507.455.556,Velocidad Viento (10 min),m/s,
21206990,103,2011-11-09T02:00:00.000,1.3,TIBAITATA - AUT,CUNDINAMARCA,MOSQUERA,ALTO MAGDALENA,4.691.416.667,-74.209,Velocidad Viento (10 min),m/s,
21145080,103,2019-04-04T17:00:00.000,1.2,SANTA ANA - AUT,HUILA,COLOMBIA,ALTO MAGDALENA,3.589.777.778,-7.470.294.444,Velocidad Viento (10 min),m/s,
21195170,103,2006-05-09T11:30:00.000,3.2,PAQUILO - AUT,CUNDINAMARCA,CABRERA,ALTO MAGDALENA,3.993.611.111,-7.439.805.556,Velocidad Viento (10 min),m/s,
21205515,103,2019-08-08T14:10:00.000,5.395,MERENGO  - AUT,CUNDINAMARCA,SOACHA,ALTO MAGDALENA,4.7,-74.174,Velocidad Viento (10 min),m/s,
21055501,103,2019-08-18T10:45:00.000,403.731,SIMON CAMPOS  - AUT,HUILA,LA PLATA,ALTO MAGDALENA,2.345.830.556,-7.587.805.556,Velocidad Viento (10 min),m/s,
21206790,103,2017-12-22T17:10:00.000,1.6,HACIENDA SANTA ANA - AUT,CUNDINAMARCA,NEMOCON,ALTO MAGDALENA,50.905,-7.388.125,Velocidad Viento (10 min),m/s,
21215190,103,2016-12-03T03:30:00.000,1.3,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,ALTO MAGDALENA,4.435.666.667,-7.550.036.111,Velocidad Viento (10 min),m/s,
21215180,103,2010-02-28T15:10:00.000,2.6,BATALLON ROOKE  - AUT,TOLIMA,IBAGUE,ALTO MAGDALENA,4.418.388.889,-7.524.866.667,Velocidad Viento (10 min),m/s,
21206920,103,2019-01-02T15:20:00.000,8.9,VILLA TERESA - AUT,BOGOTA,BOGOTA, D.C,ALTO MAGDALENA,4.35,-74.15,Velocidad Viento (10 min),m/s
21195501,103,2016-07-16T23:50:00.000,1.9,GRANJA TIBACUY  - AUT,CUNDINAMARCA,TIBACUY,ALTO MAGDALENA,4.363.052.778,-7.443.527.778,Velocidad Viento (10 min),m/s,
21215501,103,2017-07-23T10:50:00.000,1.552.264,ESPERANZA LA  - AUT,TOLIMA,IBAGUE,ALTO MAGDALENA,4.45,-75.25,Velocidad Viento (10 min),m/s,
21195170,103,2017-09-22T09:00:00.000,4.3,PAQUILO - AUT,CUNDINAMARCA,CABRERA,ALTO MAGDALENA,3.993.611.111,-7.439.805.556,Velocidad Viento (10 min),m/s,
21205516,103,2019-05-28T02:00:00.000,1.437,NEGRETE  - AUT,CUNDINAMARCA,PACHO,ALTO MAGDALENA,5.173,-73.852,Velocidad Viento (10 min),m/s,
21185501,103,2017-10-05T06:45:00.000,0.008476892,ROVIRA  - AUT,TOLIMA,ROVIRA,ALTO MAGDALENA,4.266.666.667,-7.528.305.556,Velocidad Viento (10 min),m/s,
21206950,103,2013-04-23T08:30:00.000,1.5,PARAMO GUACHENEQUE  - AUT,CUNDINAMARCA,VILLAPINZON,ALTO MAGDALENA,5.236.055.556,-7.352.508.333,Velocidad Viento (10 min),m/s,
21215190,103,2010-08-22T20:10:00.000,0.8,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,ALTO MAGDALENA,4.435.666.667,-7.550.036.111,Velocidad Viento (10 min),m/s,
22025040,103,2011-07-08T13:40:00.000,9.8,EL DIABLO,CAUCA,PAEZ,ALTO MAGDALENA,2.978,-76.064,Velocidad Viento (10 min),m/s,
21206950,103,2017-10-11T04:10:00.000,2.1,PARAMO GUACHENEQUE  - AUT,CUNDINAMARCA,VILLAPINZON,ALTO MAGDALENA,5.236.055.556,-7.352.508.333,Velocidad Viento (10 min),m/s,
21205514,103,2019-03-11T22:30:00.000,0.242,LAS MARGARITAS  - AUT,CUNDINAMARCA,EL ROSAL,ALTO MAGDALENA,4.469,-74.079,Velocidad Viento (10 min),m/s,
21235030,103,2019-04-02T12:40:00.000,0.9,UNIVERSIDAD DE CUNDINAMARCA - AUT,CUNDINAMARCA,GIRARDOT,ALTO MAGDALENA,4.305.333.333,-7.480.811.111,Velocidad Viento (10 min),m/s,
21206950,103,2013-02-13T03:30:00.000,0.8,PARAMO GUACHENEQUE  - AUT,CUNDINAMARCA,VILLAPINZON,ALTO MAGDALENA,5.236.055.556,-7.352.508.333,Velocidad Viento (10 min),m/s,
21215160,103,2006-07-28T00:00:00.000,2.6,CERROS NOROCCIDENTALES  - AUT,TOLIMA,IBAGUE,ALTO MAGDALENA,4.470.361.111,-7.524.386.111,Velocidad Viento (10 min),m/s,
21015040,103,2018-02-03T03:00:00.000,0.4,LA PRIMAVERA - AUT,HUILA,SALADOBLANCO,ALTO MAGDALENA,2.021.583.333,-7.611.433.333,Velocidad Viento (10 min),m/s,
2121500042,103,2019-07-18T09:50:00.000,1.6,EL SILENCIO - AUT,TOLIMA,IBAGUE,ALTO MAGDALENA,4.600.222.222,-75.336,Velocidad Viento (10 min),m/s,
21255170,103,2017-04-20T09:20:00.000,1.5,MURILLO - AUT,TOLIMA,MURILLO,ALTO MAGDALENA,4.870.555.556,-7.517.327.778,Velocidad Viento (10 min),m/s,
21195160,103,2011-12-21T01:30:00.000,0.8,SUBIA,CUNDINAMARCA,SILVANIA,ALTO MAGDALENA,4.477,-74.384,Velocidad Viento (10 min),m/s,
21206790,103,2018-12-31T00:20:00.000,0.6,HACIENDA SANTA ANA - AUT,CUNDINAMARCA,NEMOCON,ALTO MAGDALENA,50.905,-7.388.125,Velocidad Viento (10 min),m/s,
21215150,103,2011-03-01T13:00:00.000,4.6,NEVADO DEL TOLIMA  - AUT,TOLIMA,ANZOATEGUI,ALTO MAGDALENA,4.670.777.778,-7.532.777.778,Velocidad Viento (10 min),m/s,
21215180,103,2015-05-07T05:20:00.000,3,BATALLON ROOKE  - AUT,TOLIMA,IBAGUE,ALTO MAGDALENA,4.418.388.889,-7.524.866.667,Velocidad Viento (10 min),m/s,
21255160,103,2013-01-12T19:40:00.000,1.2,HACIENDA PAJONALES,TOLIMA,AMBALEMA,ALTO MAGDALENA,4.760.722.222,-7.483.425,Velocidad Viento (10 min),m/s,
24015508,103,2019-05-02T04:40:00.000,2.94,HACIENDA LA MESA  - AUT,CUNDINAMARCA,PASCA,ALTO MAGDALENA,4.308,-74.282,Velocidad Viento (10 min),m/s,
21205517,103,2019-03-05T03:20:00.000,0.625,PARQUE SOPO  - AUT,CUNDINAMARCA,SOPA,ALTO MAGDALENA,4.788,-74.05,Velocidad Viento (10 min),m/s,
21205012,103,2013-04-05T10:10:00.000,1.9,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,BOGOTA, D.C,ALTO MAGDALENA,4.638.083.333,-7.408.908.333,Velocidad Viento (10 min),m/s
21215160,103,2011-09-13T20:50:00.000,3.7,CERROS NOROCCIDENTALES  - AUT,TOLIMA,IBAGUE,ALTO MAGDALENA,4.470.361.111,-7.524.386.111,Velocidad Viento (10 min),m/s,
21215180,103,2017-10-09T13:40:00.000,1.8,BATALLON ROOKE  - AUT,TOLIMA,IBAGUE,ALTO MAGDALENA,4.418.388.889,-7.524.866.667,Velocidad Viento (10 min),m/s,
